Subject Number,Subject,Review Board,Subject Area,Scientific Discipline
406-04,Computer-Aided Design of Materials and Simulation of Materials Behaviour from Atomic to Microscopic Scale,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences"
407-01,"Automation, Control Systems, Robotics, Mechatronics, Cyber Physical Systems","407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
407-02,Measurement Systems,"407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
407-03,Microsystems,"407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
407-04,"Traffic and Transport Systems, Logistics, Intelligent and Automated Traffic","407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
407-05,"Human Factors, Ergonomics, Human-Machine Systems","407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
407-06,Biomedical Systems Technology,"407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
408-01,"Electronic Semiconductors, Components, Circuits, Systems","408
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
408-02,"Communications, High-Frequency and Network Technology, Theoretical Electrical Engineering","408
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
408-03,"Electrical Energy Generation, Distribution, Application","408
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-01,Theoretical Computer Science,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-02,Software Engineering and Programming Languages,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-03,Security and Dependability,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-04,"Operating, Communication, Database and Distributed Systems","409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-05,"Interactive and Intelligent Systems, Image and Language Processing, Computer Graphics and Visualisation","409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-06,"Information Systems, Process and Knowledge Management","409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-07,Computer Architecture and Embedded Systems,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
409-08,Massively Parallel and Data-Intensive Systems,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences"
410-01,"Architecture, Building and Construction History, Construction Research, Sustainable Building Technology","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences"
410-02,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences"
410-03,"Construction Material Sciences, Chemistry, Building Physics","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences"
410-04,"Structural Engineering, Building Informatics and Construction Operation","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences"
410-05,"Applied Mechanics, Statics and Dynamics","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences"
410-06,"Geotechnics, Hydraulic Engineering","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences"
